,数据集,下游模型,填补方法,掩码率,填补MSE,填补MAE,下游MSE,下游MAE,种子,日期,是否汇入总表
0,Weather,MICN,no,25.0%,0.6337401960730735,0.6050699941722527,0.17825976,0.2445433,2021,2024-09-21  23:10:00,1
1,Weather,MICN,no,37.5%,0.6335179977507496,0.6051315479894723,0.1905561089515686,0.2605902552604675,2021,2024-09-21  23:35:57,1
2,Weather,MICN,no,50.0%,0.6329457872758614,0.6048822427408461,0.2637560963630676,0.3470922708511352,2021,2024-09-21  23:48:56,1
3,Weather,MICN,no,62.5%,0.6334080730959133,0.6049386362310933,0.3800709545612335,0.4483133554458618,2021,2024-09-21  23:55:46,1
4,Weather,MICN,no,75.0%,0.6331239303036884,0.6048549175536706,0.4690195620059967,0.5095561146736145,2021,2024-09-22  00:02:43,1
5,Weather,MICN,mean,12.5%,0.1060405630429783,0.1673129515699539,0.1675710082054138,0.2163157314062118,2021,2024-09-22  00:21:49,1
6,Weather,MICN,mean,25.0%,0.1064457275284785,0.1674687582885195,0.1680559813976287,0.2178402245044708,2021,2024-09-22  00:48:19,1
7,Weather,MICN,mean,37.5%,0.1069761392791852,0.1675950660958794,0.1698638051748275,0.2196923941373825,2021,2024-09-22  01:16:33,1
8,Weather,MICN,mean,50.0%,0.106970083201304,0.1676012821141287,0.1723107695579528,0.2220189571380615,2021,2024-09-22  01:44:49,1
9,Weather,MICN,mean,62.5%,0.1068809419767531,0.1675624129550954,0.1753612458705902,0.2245983183383941,2021,2024-09-22  02:13:01,1
10,Weather,MICN,mean,75.0%,0.1066800158090912,0.167470533212224,0.2021779119968414,0.2450831681489944,2021,2024-09-22  02:19:55,1
11,Weather,MICN,nearest,12.5%,0.0385786036650458,0.0406097165520297,0.1658318191766739,0.213481992483139,2021,2024-09-22  03:42:21,1
12,Weather,MICN,nearest,25.0%,0.0399846852009978,0.0416093505890411,0.1661801040172577,0.2138397991657257,2021,2024-09-22  05:04:52,1
13,Weather,MICN,nearest,37.5%,0.041568040913128,0.0431214844939396,0.1670185476541519,0.214527741074562,2021,2024-09-22  06:27:55,1
14,ECL,MICN,linear,12.5%,0.084237834820466,0.1851201433202494,0.1552280783653259,0.2583124935626983,2021,2024-09-22  06:40:57,1
15,Weather,MICN,nearest,50.0%,0.0450373735001019,0.045817404105528,0.1678231954574585,0.2159243673086166,2021,2024-09-22  08:31:52,1
